cr,f,popsize,forest,hilly,mean,mad
0.71999997,0.96,64,inf,inf,inf,inf
0.76,0.04,64,inf,inf,inf,inf
0.76,0.08,64,inf,inf,inf,inf
0.76,0.12,64,inf,inf,inf,inf
0.76,0.16,64,inf,inf,inf,inf
0.76,0.19999999,64,inf,inf,inf,inf
0.76,0.23999998,64,inf,inf,inf,inf
0.76,0.28,64,inf,inf,inf,inf
0.76,0.32,64,inf,inf,inf,inf
0.76,0.35999998,64,inf,inf,inf,inf
0.76,0.39999998,64,inf,inf,inf,inf
0.76,0.43999997,64,inf,inf,inf,inf
0.76,0.48,64,inf,inf,inf,inf
0.76,0.52,64,inf,inf,inf,inf
0.76,0.56,64,inf,inf,inf,inf
0.76,0.6,64,inf,inf,inf,inf
0.76,0.64,64,inf,inf,inf,inf
0.76,0.68,64,inf,inf,inf,inf
0.76,0.72,64,inf,inf,inf,inf
0.76,0.76,64,inf,inf,inf,inf
0.76,0.8,64,inf,inf,inf,inf
0.76,0.84,64,inf,inf,inf,inf
0.76,0.88,64,inf,inf,inf,inf
0.76,0.92,64,inf,inf,inf,inf
0.76,0.96,64,inf,inf,inf,inf
0.79999995,0.04,64,inf,inf,inf,inf
0.79999995,0.08,64,inf,inf,inf,inf
0.79999995,0.12,64,inf,inf,inf,inf
0.79999995,0.16,64,inf,inf,inf,inf
0.79999995,0.19999999,64,inf,inf,inf,inf
0.79999995,0.23999998,64,inf,inf,inf,inf
0.79999995,0.28,64,inf,inf,inf,inf
0.79999995,0.32,64,inf,inf,inf,inf
0.79999995,0.35999998,64,inf,inf,inf,inf
0.79999995,0.39999998,64,inf,inf,inf,inf
0.79999995,0.43999997,64,inf,inf,inf,inf
0.79999995,0.48,64,inf,inf,inf,inf
0.79999995,0.52,64,inf,inf,inf,inf
0.79999995,0.56,64,inf,inf,inf,inf
0.79999995,0.6,64,inf,inf,inf,inf
0.79999995,0.64,64,inf,inf,inf,inf
0.79999995,0.68,64,inf,inf,inf,inf
0.79999995,0.72,64,inf,inf,inf,inf
0.79999995,0.76,64,inf,inf,inf,inf
0.79999995,0.8,64,inf,inf,inf,inf
0.79999995,0.84,64,inf,inf,inf,inf
0.79999995,0.88,64,inf,inf,inf,inf
0.79999995,0.92,64,inf,inf,inf,inf
0.79999995,0.96,64,inf,inf,inf,inf
0.84,0.04,64,inf,inf,inf,inf
0.84,0.08,64,inf,inf,inf,inf
0.84,0.12,64,inf,inf,inf,inf
0.84,0.16,64,inf,inf,inf,inf
0.84,0.19999999,64,inf,inf,inf,inf
0.84,0.23999998,64,inf,inf,inf,inf
0.84,0.28,64,inf,inf,inf,inf
0.84,0.32,64,inf,inf,inf,inf
0.84,0.35999998,64,inf,inf,inf,inf
0.84,0.39999998,64,inf,inf,inf,inf
0.84,0.43999997,64,inf,inf,inf,inf
0.84,0.48,64,inf,inf,inf,inf
0.84,0.52,64,inf,inf,inf,inf
0.84,0.56,64,inf,inf,inf,inf
0.84,0.6,64,inf,inf,inf,inf
0.84,0.64,64,inf,inf,inf,inf
0.84,0.68,64,inf,inf,inf,inf
0.84,0.72,64,inf,inf,inf,inf
0.84,0.76,64,inf,inf,inf,inf
0.84,0.8,64,inf,inf,inf,inf
0.84,0.84,64,inf,inf,inf,inf
0.84,0.88,64,inf,inf,inf,inf
0.84,0.92,64,inf,inf,inf,inf
0.84,0.96,64,inf,inf,inf,inf
0.88,0.04,64,inf,inf,inf,inf
0.88,0.08,64,inf,inf,inf,inf
0.88,0.12,64,inf,inf,inf,inf
0.88,0.16,64,inf,inf,inf,inf
0.88,0.19999999,64,inf,inf,inf,inf
0.88,0.23999998,64,inf,inf,inf,inf
0.88,0.28,64,inf,inf,inf,inf
0.88,0.32,64,inf,inf,inf,inf
0.88,0.35999998,64,inf,inf,inf,inf
0.88,0.39999998,64,inf,inf,inf,inf
0.88,0.43999997,64,inf,inf,inf,inf
0.88,0.48,64,inf,inf,inf,inf
0.88,0.52,64,inf,inf,inf,inf
0.88,0.56,64,inf,inf,inf,inf
0.88,0.6,64,inf,inf,inf,inf
0.88,0.64,64,inf,inf,inf,inf
0.88,0.68,64,inf,inf,inf,inf
0.88,0.72,64,inf,inf,inf,inf
0.88,0.76,64,inf,inf,inf,inf
0.88,0.8,64,inf,inf,inf,inf
0.88,0.84,64,inf,inf,inf,inf
0.88,0.88,64,inf,inf,inf,inf
0.88,0.92,64,inf,inf,inf,inf
0.88,0.96,64,inf,inf,inf,inf
0.91999996,0.04,64,inf,inf,inf,inf
0.91999996,0.08,64,inf,inf,inf,inf
0.91999996,0.12,64,inf,inf,inf,inf
0.91999996,0.16,64,inf,inf,inf,inf
0.91999996,0.19999999,64,inf,inf,inf,inf
0.91999996,0.23999998,64,inf,inf,inf,inf
0.91999996,0.28,64,inf,inf,inf,inf
0.91999996,0.32,64,inf,inf,inf,inf
0.91999996,0.35999998,64,inf,inf,inf,inf
0.91999996,0.39999998,64,inf,inf,inf,inf
0.91999996,0.43999997,64,inf,inf,inf,inf
0.91999996,0.48,64,inf,inf,inf,inf
0.91999996,0.52,64,inf,inf,inf,inf
0.91999996,0.56,64,inf,inf,inf,inf
0.91999996,0.6,64,inf,inf,inf,inf
0.91999996,0.64,64,inf,inf,inf,inf
